4,1768,358,1319,1102,1967,1703
14,1300,727,565,466,2023,1626
28,272,1599,1655,500,175,693
9,1798,1918,239,1401,2185,1230
15,1815,1564,2358,2067,733,1884
19,1951,640,382,392,145,487
5,555,868,1374,769,948,13991
16,1843,1753,626,2080,546,85
3,131,1598,201,1071,755,1740
17,1065,1514,2068,1631,1112,2164
2,721,1698,955,961,250,1067
3,131,1598,201,1071,755,1740
17,1065,1514,2068,1631,1112,2164
2,721,1698,955,961,250,1067
4,1768,358,1319,1102,1967,1703
14,1300,727,565,466,2023,1626
28,272,1599,1655,500,175,693
9,1798,1918,239,1401,2185,1230
15,1815,1564,2358,2067,733,1884
19,1951,640,382,392,145,487
5,555,868,1374,769,948,13991
16,1843,1753,626,2080,546,85
3,131,1598,201,1071,755,1740
17,1065,1514,2068,1631,1112,2164
2,721,1698,955,961,250,1067
3,131,1598,201,1071,755,1740
17,1065,1514,2068,1631,1112,2164
2,721,1698,955,961,250,1067
